Name of Initiative,Organization Name,Location 1,State,Category,Unique ID,State Based
Next Generation ACO Model,"ThedaCare ACO, LLC","122 E. College Avenue Appleton, WI (44.261805, -88.404829)",WI,Accountable Care Models,1,
Next Generation ACO Model,"Pioneer Valley Accountable Care Models, LLC","101 Wason Avenue Springfield, MA (42.124784, -72.612729)",MA,Accountable Care Models,2,
Next Generation ACO Model,CHESS Health Solutions,"1701 Westchester Drive High Point, NC (35.948416, -80.033627)",NC,Accountable Care Models,3,
Next Generation ACO Model,"Accountable Care Models Coalition of Southeast Texas, Inc.","4888 Loop Central Drive Houston, TX (29.724544, -95.456861)",TX,Accountable Care Models,4,
Next Generation ACO Model,"Trinity Health ACO, Inc.","1209 Orange Street Wilmington, DE (39.748453, -75.547473)",DE,Accountable Care Models,5,
Next Generation ACO Model,"Henry Ford Physicians Accountable Care Models Organization, LLC","1 Ford Place Detroit, MI (42.363742, -83.076568)",MI,Accountable Care Models,6,
Next Generation ACO Model,"Deaconess Care Integration, LLC","421 Chestnut Street Evansville, IN (37.970145, -87.566924)",IN,Accountable Care Models,7,
Next Generation ACO Model,Park Nicollet Net Generation Accountable Care Models Organization,"3800 Park Nicollet Boulevard St. Louis Park, MN (44.933347, -93.346217)",MN,Accountable Care Models,8,
Next Generation ACO Model,"UnityPoint Accountable Care Models, LC","1776 West Lakes Parkway West Des Moines, IA (41.597815, -93.785777)",IA,Accountable Care Models,9,
Next Generation ACO Model,"Bellin Health Partners, Inc.","744 S Webster Ave. Green Bay, WI (44.502001, -88.010631)",WI,Accountable Care Models,10,
Next Generation ACO Model,"Triad HealthCare Network, LLC","300 East Wendover Avenue Greensboro, NC (36.087737, -79.785735)",NC,Accountable Care Models,11,
Next Generation ACO Model,"Atrius Health, Inc.","275 Grove Street Newton, MA (42.338642, -71.251417)",MA,Accountable Care Models,12,
Next Generation ACO Model,"NW Momentum Health Partners ACO, LLC","319 7th Ave SE Olympia, WA (47.042627, -122.897932)",WA,Accountable Care Models,13,
Next Generation ACO Model,UT Southwestern Accountable Care Models Network,"5323 Harry Hines Blvd Dallas, TX (32.812607, -96.83845)",TX,Accountable Care Models,14,
Next Generation ACO Model,"Prospect ACO Northeast, LLC","3415 S Sepulveda Blvd Los Angeles, CA (34.020503, -118.423219)",CA,Accountable Care Models,15,
Next Generation ACO Model,"St. Luke's Clinic Coordinated Care, LTD","190 E. Bannock St. Boise, ID (43.612157, -116.192202)",ID,Accountable Care Models,16,
Next Generation ACO Model,"ProHealth Solutions, LLC","N17 W24100 Riverwood Dr Waukesha, WI (43.054796999000075, -88.22829998499998)",WI,Accountable Care Models,17,
Next Generation ACO Model,Indiana University Health,"340 West 10th Street Indianapolis, IN (39.780996, -86.164597)",IN,Accountable Care Models,18,
Next Generation ACO Model,Carilion Clinic?s Doctors Connected,"213 S Jefferson Street Roanoke, VA (37.271326, -79.940549)",VA,Accountable Care Models,19,
Next Generation ACO Model,"Arizona Care Network, LLC","3030 N. Central Avenue Phoenix, AZ (33.481979, -112.073885)",AZ,Accountable Care Models,20,
Next Generation ACO Model,"APA ACO, Inc.","700 N. Brand Blvd Glendale, CA (34.157093, -118.254985)",CA,Accountable Care Models,21,
Next Generation ACO Model,"UNC Senior Alliance, LLC","2000 Perimeter Park Drive Morrisville, NC (35.852125, -78.829541)",NC,Accountable Care Models,22,
Next Generation ACO Model,"UW Health ACO, Inc.","749 University Row Madison, WI (43.075891, -89.469679)",WI,Accountable Care Models,23,
Next Generation ACO Model,"Reliant Medical Group, Inc.","100 Front St. Worcester, MA (42.262375, -71.79956)",MA,Accountable Care Models,24,
Next Generation ACO Model,Mary Washington Health Alliance LLC,"2300 Fall Hill Avenue Fredericksburg, VA (38.312781, -77.472135)",VA,Accountable Care Models,25,
Next Generation ACO Model,"Reliance Next Gen ACO, LLC","23900 Orchard Lake Road Farmington Hills, MI (42.468083, -83.3571)",MI,Accountable Care Models,26,
Next Generation ACO Model,Primary Care Alliance,"18550 US hwy 441 Mt Dora, FL (28.823323, -81.650202)",FL,Accountable Care Models,27,
Next Generation ACO Model,Revere Health,"1055 North 500 West Provo, UT (40.247986, -111.667382)",UT,Accountable Care Models,28,
Next Generation ACO Model,"Franciscan Missionaries of Our Lady Health System Clinical Network, LLC","4200 Essen Lane Baton Rouge, LA (30.412108, -91.100039)",LA,Accountable Care Models,29,
Next Generation ACO Model,CareMount ACO,"110 South Bedford Road Mount Kisco, NY (41.197841, -73.718749)",NY,Accountable Care Models,30,
