"Name of Initiative","Organization Name",Notes,"Location 1","Street Address",City,State,"State Based","Phase 1","Phase 2",Facebook,Twitter,Youtube,Website,Category,MSA_Name,"Unique ID","Map Display"
"Next Generation ACO Model","ThedaCare ACO, LLC","","122 E. College Avenue Appleton, WI (44.261805, -88.404829)","122 E. College Avenue",Appleton,WI,"","","","","","","","Accountable Care Models","",1,""
"Next Generation ACO Model","Pioneer Valley Accountable Care Models, LLC","","101 Wason Avenue Springfield, MA (42.124784, -72.612729)","101 Wason Avenue",Springfield,MA,"","","","","","","","Accountable Care Models","",2,""
"Next Generation ACO Model","CHESS Health Solutions","","1701 Westchester Drive High Point, NC (35.948416, -80.033627)","1701 Westchester Drive","High Point",NC,"","","","","","","","Accountable Care Models","",3,""
"Next Generation ACO Model","Accountable Care Models Coalition of Southeast Texas, Inc.","","4888 Loop Central Drive Houston, TX (29.724544, -95.456861)","4888 Loop Central Drive",Houston,TX,"","","","","","","","Accountable Care Models","",4,""
"Next Generation ACO Model","Trinity Health ACO, Inc.","","1209 Orange Street Wilmington, DE (39.748453, -75.547473)","1209 Orange Street",Wilmington,DE,"","","","","","","","Accountable Care Models","",5,""
"Next Generation ACO Model","Henry Ford Physicians Accountable Care Models Organization, LLC","","1 Ford Place Detroit, MI (42.363742, -83.076568)","1 Ford Place",Detroit,MI,"","","","","","","","Accountable Care Models","",6,""
"Next Generation ACO Model","Deaconess Care Integration, LLC","","421 Chestnut Street Evansville, IN (37.970145, -87.566924)","421 Chestnut Street",Evansville,IN,"","","","","","","","Accountable Care Models","",7,""
"Next Generation ACO Model","Park Nicollet Net Generation Accountable Care Models Organization","","3800 Park Nicollet Boulevard St. Louis Park, MN (44.933347, -93.346217)","3800 Park Nicollet Boulevard","St. Louis Park",MN,"","","","","","","","Accountable Care Models","",8,""
"Next Generation ACO Model","UnityPoint Accountable Care Models, LC","","1776 West Lakes Parkway West Des Moines, IA (41.597815, -93.785777)","1776 West Lakes Parkway","West Des Moines",IA,"","","","","","","","Accountable Care Models","",9,""
"Next Generation ACO Model","Bellin Health Partners, Inc.","","744 S Webster Ave. Green Bay, WI (44.502001, -88.010631)","744 S Webster Ave.","Green Bay",WI,"","","","","","","","Accountable Care Models","",10,""
"Next Generation ACO Model","Triad HealthCare Network, LLC","","300 East Wendover Avenue Greensboro, NC (36.087737, -79.785735)","300 East Wendover Avenue",Greensboro,NC,"","","","","","","","Accountable Care Models","",11,""
"Next Generation ACO Model","Atrius Health, Inc.","","275 Grove Street Newton, MA (42.338642, -71.251417)","275 Grove Street",Newton,MA,"","","","","","","","Accountable Care Models","",12,""
"Next Generation ACO Model","NW Momentum Health Partners ACO, LLC","","319 7th Ave SE Olympia, WA (47.042627, -122.897932)","319 7th Ave SE",Olympia,WA,"","","","","","","","Accountable Care Models","",13,""
"Next Generation ACO Model","UT Southwestern Accountable Care Models Network","","5323 Harry Hines Blvd Dallas, TX (32.812607, -96.83845)","5323 Harry Hines Blvd",Dallas,TX,"","","","","","","","Accountable Care Models","",14,""
"Next Generation ACO Model","Prospect ACO Northeast, LLC","","3415 S Sepulveda Blvd Los Angeles, CA (34.020503, -118.423219)","3415 S Sepulveda Blvd","Los Angeles",CA,"","","","","","","","Accountable Care Models","",15,""
"Next Generation ACO Model","St. Luke's Clinic Coordinated Care, LTD","","190 E. Bannock St. Boise, ID (43.612157, -116.192202)","190 E. Bannock St.",Boise,ID,"","","","","","","","Accountable Care Models","",16,""
"Next Generation ACO Model","ProHealth Solutions, LLC","","N17 W24100 Riverwood Dr Waukesha, WI (43.054796999000075, -88.22829998499998)","N17 W24100 Riverwood Dr",Waukesha,WI,"","","","","","","","Accountable Care Models","",17,""
"Next Generation ACO Model","Indiana University Health","","340 West 10th Street Indianapolis, IN (39.780996, -86.164597)","340 West 10th Street",Indianapolis,IN,"","","","","","","","Accountable Care Models","",18,""
"Next Generation ACO Model","Carilion Clinic?s Doctors Connected","","213 S Jefferson Street Roanoke, VA (37.271326, -79.940549)","213 S Jefferson Street",Roanoke,VA,"","","","","","","","Accountable Care Models","",19,""
"Next Generation ACO Model","Arizona Care Network, LLC","","3030 N. Central Avenue Phoenix, AZ (33.481979, -112.073885)","3030 N. Central Avenue",Phoenix,AZ,"","","","","","","","Accountable Care Models","",20,""
"Next Generation ACO Model","APA ACO, Inc.","","700 N. Brand Blvd Glendale, CA (34.157093, -118.254985)","700 N. Brand Blvd",Glendale,CA,"","","","","","","","Accountable Care Models","",21,""
"Next Generation ACO Model","UNC Senior Alliance, LLC","","2000 Perimeter Park Drive Morrisville, NC (35.852125, -78.829541)","2000 Perimeter Park Drive",Morrisville,NC,"","","","","","","","Accountable Care Models","",22,""
"Next Generation ACO Model","UW Health ACO, Inc.","","749 University Row Madison, WI (43.075891, -89.469679)","749 University Row",Madison,WI,"","","","","","","","Accountable Care Models","",23,""
"Next Generation ACO Model","Reliant Medical Group, Inc.","","100 Front St. Worcester, MA (42.262375, -71.79956)","100 Front St.",Worcester,MA,"","","","","","","","Accountable Care Models","",24,""
"Next Generation ACO Model","Mary Washington Health Alliance LLC","","2300 Fall Hill Avenue Fredericksburg, VA (38.312781, -77.472135)","2300 Fall Hill Avenue",Fredericksburg,VA,"","","","","","","","Accountable Care Models","",25,""
"Next Generation ACO Model","Reliance Next Gen ACO, LLC","","23900 Orchard Lake Road Farmington Hills, MI (42.468083, -83.3571)","23900 Orchard Lake Road","Farmington Hills",MI,"","","","","","","","Accountable Care Models","",26,""
"Next Generation ACO Model","Primary Care Alliance","","18550 US hwy 441 Mt Dora, FL (28.823323, -81.650202)","18550 US hwy 441","Mt Dora",FL,"","","","","","","","Accountable Care Models","",27,""
"Next Generation ACO Model","Revere Health","","1055 North 500 West Provo, UT (40.247986, -111.667382)","1055 North 500 West",Provo,UT,"","","","","","","","Accountable Care Models","",28,""
"Next Generation ACO Model","Franciscan Missionaries of Our Lady Health System Clinical Network, LLC","","4200 Essen Lane Baton Rouge, LA (30.412108, -91.100039)","4200 Essen Lane","Baton Rouge",LA,"","","","","","","","Accountable Care Models","",29,""
"Next Generation ACO Model","CareMount ACO","","110 South Bedford Road Mount Kisco, NY (41.197841, -73.718749)","110 South Bedford Road","Mount Kisco",NY,"","","","","","","","Accountable Care Models","",30,""
"Next Generation ACO Model","Primaria ACO, LLC","","9365 Counselors Row Indianapolis, IN (39.92324, -86.104637)","9365 Counselors Row",Indianapolis,IN,"","","","","","","","Accountable Care Models","",31,""
"Next Generation ACO Model","Best Care Collaborative","","2776 Cleveland Avenue Fort Myers, FL (26.626924, -81.872295)","2776 Cleveland Avenue","Fort Myers",FL,"","","","","","","","Accountable Care Models","",32,""
"Next Generation ACO Model","Accountable Care Models Coalition of Tennessee, LLC","","4888 Loop Central Drive Houston, TX (29.724544, -95.456861)","4888 Loop Central Drive",Houston,TX,"","","","","","","","Accountable Care Models","",33,""
"Next Generation ACO Model","Torrance Memorial Integrated Physicians, LLC","","23326 Hawthorne Blvd Torrance, CA (33.814287, -118.351026)","23326 Hawthorne Blvd",Torrance,CA,"","","","","","","","Accountable Care Models","",34,""
"Next Generation ACO Model","NEQCA Accountable Care Models, Inc.","","325 Wood Road Braintree, MA (42.217616, -71.041188)","325 Wood Road",Braintree,MA,"","","","","","","","Accountable Care Models","",35,""
"Maternal Opioid Misuse (MOM) Model","Indiana Family and Social Services Administration","Care-delivery partners: Anthem Insurance Companies, Inc., CareSource Indiana, Inc., MDWise, Inc., and Coordinated Care Corporation Indiana, Inc.","402 West Washington Street Indianapolis, IN (39.767247, -86.165405)","402 West Washington Street",Indianapolis,IN,"","","","","","","","State & Community-Based Models","",36,""
"Maternal Opioid Misuse (MOM) Model","Texas Health and Human Services Commission","Care-delivery partners: Harris Health System, Baylor College of Medicine and Santa Maria Hostel","2525 Holly Hall Street Houston, TX (29.685422, -95.387094)","2525 Holly Hall Street",Houston,TX,"","","","","","","","State & Community-Based Models","",37,""
"Maternal Opioid Misuse (MOM) Model","State of Maine","Care-delivery partners: Maine General Medical Center, MaineHealth, Mid Coast Parkview Hospital Behavioral Health Division, Eastern Maine Healthcare Systems-DBA Northern Light Health, Penobscot Community Health Care, and Pines Health Services","109 Capitol Street Augusta, ME (44.308518, -69.785636)","109 Capitol Street",Augusta,ME,"","","","","","","","State & Community-Based Models","",38,""
"Maternal Opioid Misuse (MOM) Model","Tennessee Bureau of TennCare","Care-delivery partner: Vanderbilt University Medical Center","2525 West End Avenue Nashville, TN (36.146641, -86.809074)","2525 West End Avenue",Nashville,TN,"","","","","","","","State & Community-Based Models","",39,""
"Maternal Opioid Misuse (MOM) Model","Colorado Department of Health Care Policy and Financing","Care-delivery partners: Rocky Mountain Health Plans, Northeast Health Partners, LLC, Colorado Access, Health Colorado, Inc., and Colorado Community Health Alliance, LLC","1570 Grant Street Denver, CO (39.741297, -104.983577)","1570 Grant Street",Denver,CO,"","","","","","","","State & Community-Based Models","",40,""
"Maternal Opioid Misuse (MOM) Model","State of New Hampshire","Care-delivery partner: Elliot Health Systems","129 Pleasant Street Concord, NH (43.199805, -71.547221)","129 Pleasant Street",Concord,NH,"","","","","","","","State & Community-Based Models","",41,""
"Maternal Opioid Misuse (MOM) Model","Bureau for Medical Services","Care-delivery partner: Marshall Health/Marshall University Resource Corporation","350 Capitol Street Charleston, WV (38.351151, -81.632587)","350 Capitol Street",Charleston,WV,"","","","","","","","State & Community-Based Models","",42,""
"Medicare Advantage Value-Based Insurance Design Model","CVS Health Corporation (Aetna, Inc.)","Plans operating in Pennsylvania and West Virginia","151 Farmington Ave Hartford, CT (41.768046, -72.688425)","151 Farmington Ave",Hartford,CT,"","","","","","","","Health Plan Models","",43,""
"Medicare Advantage Value-Based Insurance Design Model","Blue Cross Blue Shield of Michigan","Plans operating in Michigan","1000 Town Center Dr., MC 1516 Southfield, MI (42.47623399500003, -83.24400897299995)","1000 Town Center Dr., MC 1516",Southfield,MI,"","","","","","","","Health Plan Models","",44,""
"Medicare Advantage Value-Based Insurance Design Model","Blue Cross Blue Shield of Rhode Island","Plans operating in Rhode Island","500 Exchange St. Providence, RI (41.827999, -71.41293)","500 Exchange St.",Providence,RI,"","","","","","","","Health Plan Models","",45,""
"Medicare Advantage Value-Based Insurance Design Model","CareOregon, Inc.","Plans operating in Oregon","315 SW 5th Ave Portland, OR (45.52126, -122.676232)","315 SW 5th Ave",Portland,OR,"","","","","","","","Health Plan Models","",46,""
"Medicare Advantage Value-Based Insurance Design Model","Capital District Physicians' Health Plan Models, Inc.","Plans operating in New York","500 Patroon Creek Blvd Albany, NY (42.68421, -73.805878)","500 Patroon Creek Blvd",Albany,NY,"","","","","","","","Health Plan Models","",47,""
"Medicare Advantage Value-Based Insurance Design Model","Highmark Health","Plans operating in Pennsylvania","120 Fifth Ave Pittsburgh, PA (40.528428, -80.023262)","120 Fifth Ave",Pittsburgh,PA,"","","","","","","","Health Plan Models","",48,""
"Medicare Advantage Value-Based Insurance Design Model","Humana, Inc.","Plans operating in Alabama, Arizona, Arkansas, California, Colorado, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Kansas, Kentucky, Louisiana, Maine, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New York, North Carolina, Ohio, Oklahoma, Oregon, Pennsylvania, Puerto Rico, South Carolina, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia and Wisconsin","500 West Main St Kentucky, KY (37.646151, -84.777484)","500 West Main St",Kentucky,KY,"","","","","","","","Health Plan Models","",49,""
"Medicare Advantage Value-Based Insurance Design Model","Sentara Health Care","Plans operating in Virginia","4417 Corporation Lane Virginia Beach, VA (36.847997, -76.129597)","4417 Corporation Lane","Virginia Beach",VA,"","","","","","","","Health Plan Models","",50,""
"Medicare Advantage Value-Based Insurance Design Model","UnitedHealth Group, Inc.","Plans operating in Alabama, Arizona, California, Colorado, Delaware, Florida, Georgia, Hawaii, Iowa, Kansas, Kentucky, Louisiana, Maryland, Massachusetts, Michigan, Mississippi, Missouri, Nebraska, Nevada, New Jersey, New York, North Carolina, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Virginia, Washington, Washington D.C., West Virginia and Wisconsin","9800 Healthcare Lane Minnetonka, MN (44.895294, -93.403887)","9800 Healthcare Lane",Minnetonka,MN,"","","","","","","","Health Plan Models","",51,""
"Medicare Advantage Value-Based Insurance Design Model","UPMC Health System","Plans operating in Ohio and Pennsylvania","600 Grant St. Pittsburgh, PA (40.441437, -79.99546)","600 Grant St.",Pittsburgh,PA,"","","","","","","","Health Plan Models","",52,""
"Pennsylvania Rural Health Model","ACMH HOSPITAL","","1 Nolte Drive Kittanning, PA (40.812095, -79.562335)","1 Nolte Drive",Kittanning,PA,"","","","","","","","Health Plan Models","",53,""
"Pennsylvania Rural Health Model","BARNES-KASSON COUNTY HOSPITAL","","2872 Turnpike Street Susquehanna, PA (41.947372, -75.594016)","2872 Turnpike Street",Susquehanna,PA,"","","","","","","","Health Plan Models","",54,""
"Pennsylvania Rural Health Model","ENDLESS MOUNTAINS HEALTH SYSTEMS","","100 Hospital Drive Montrose, PA (41.83573, -75.836978)","100 Hospital Drive",Montrose,PA,"","","","","","","","Health Plan Models","",55,""
"Pennsylvania Rural Health Model","FULTON COUNTY MEDICAL CENTER","","214 Peach Orchard Road McConnellsburg, PA (39.936716, -78.009)","214 Peach Orchard Road",McConnellsburg,PA,"","","","","","","","Health Plan Models","",56,""
"Pennsylvania Rural Health Model","JERSEY SHORE HOSPITAL","","1020 Thompson Street Jersey Shore, PA (41.201647, -77.267956)","1020 Thompson Street","Jersey Shore",PA,"","","","","","","","Health Plan Models","",57,""
"Pennsylvania Rural Health Model","KANE COMMUNITY HOSPITAL","","7372 US-6 Kane, PA (41.701265, -78.705568)","7372 US-6",Kane,PA,"","","","","","","","Health Plan Models","",58,""
"Pennsylvania Rural Health Model","MONONGAHELA VALLEY HOSPITAL","","1163 Country Club Road Monongahela, PA (40.181578, -79.916276)","1163 Country Club Road",Monongahela,PA,"","","","","","","","Health Plan Models","",59,""
"Pennsylvania Rural Health Model","PUNXSUTAWNEY AREA HOSPITAL","","81 Hillcrest Drive Punxsutawney, PA (40.960153, -79.000359)","81 Hillcrest Drive",Punxsutawney,PA,"","","","","","","","Health Plan Models","",60,""
"Pennsylvania Rural Health Model","WASHINGTON HEALTH SYSTEM GREENE","","350 Bonar Ave Waynesburg, PA (39.900605, -80.173929)","350 Bonar Ave",Waynesburg,PA,"","","","","","","","Health Plan Models","",61,""
"Pennsylvania Rural Health Model","TYRONE HOSPITAL","","187 Hospital Drive Tyrone, PA (40.674843, -78.252302)","187 Hospital Drive",Tyrone,PA,"","","","","","","","Health Plan Models","",62,""
"Pennsylvania Rural Health Model","WASHINGTON HOSPITAL","","155 Wilson Ave Washington, PA (40.183244, -80.247471)","155 Wilson Ave",Washington,PA,"","","","","","","","Health Plan Models","",63,""
"Pennsylvania Rural Health Model","WAYNE MEMORIAL HOSPITAL","","601 Park Street Honesdale, PA (41.576284, -75.259796)","601 Park Street",Honesdale,PA,"","","","","","","","Health Plan Models","",64,""
